SKU,Product Name,Sell As,Product Unit,Net Weight / Content,Measurement Unit,Reorder Level,Reorder Quantity,HSN/SAC,Quantity (latest batch),Barcode,MRP (latest batch),Selling Price (latest batch),Cost Price (latest batch),Brand,Product Type,Display Categories,Actual Weight,Length,Width,Height,Price per unit(Enquiry),Min Order Quantity(Enquiry),Max Supply Capacity,Max Supply Capacity Period,Tax Name (Outside Karnataka) ,Tax Rate (Outside Karnataka) ,Tax Name (Within Karnataka) ,Tax Rate (Within Karnataka) 
IPA-100ML,SLCHEM® IPA to clean all computer & Electronic Accessories ,Packed Product,Unit,,,100,0,2905,500,,499,299,0,,Surface Cleaner,"House Hold Cleaning Supplies >> Surface Cleaner,House Hold Cleaning Supplies,All Products",,,,,,0,,,IGST,18,CGST + SGST,18
MSP-100G,SLCHEM® Maize Starch Powder - 100% Pure Corn Flour Powder 100g,Packed and Loose,Unit,5,Kg,20,0,1108,100,,149,55,0,,All Products,"All Products,Cooking & Baking Ingredients",,,,,,0,,,IGST,18,CGST + SGST,18
MSP-250G,SLCHEM® Maize Starch Powder - 100% Pure Corn Flour Powder 250g,Packed and Loose,Unit,5,Kg,20,0,1108,100,,199,99,0,,All Products,"All Products,Cooking & Baking Ingredients",,,,,,0,,,IGST,18,CGST + SGST,18
MSP-400G,SLCHEM® Maize Starch Powder - 100% Pure Corn Flour Powder 400g,Packed and Loose,Unit,5,Kg,20,0,1108,100,,229,130,0,,All Products,"All Products,Cooking & Baking Ingredients",,,,,,0,,,IGST,18,CGST + SGST,18
MSP-800G,SLCHEM® Maize Starch Powder - 100% Pure Corn Flour Powder 800g,Packed and Loose,Unit,5,Kg,20,0,1108,100,,329,219,0,,All Products,"All Products,Cooking & Baking Ingredients",,,,,,0,,,IGST,18,CGST + SGST,18
MSP-1KG,SLCHEM® Maize Starch Powder - 100% Pure Corn Flour Powder 1 Kg,Packed and Loose,Unit,5,Kg,20,0,1108,100,,399,279,0,,All Products,"All Products,Cooking & Baking Ingredients",,,,,,0,,,IGST,18,CGST + SGST,18
MSP-1.6KG,SLCHEM® Maize Starch Powder - 100% Pure Corn Flour Powder 1.6Kg,Packed and Loose,Unit,5,Kg,100,0,1108,499,,499,329,0,,All Products,"All Products,Cooking & Baking Ingredients",,,,,,0,,,IGST,18,CGST + SGST,18
MSP-2KG,SLCHEM® Maize Starch Powder - 100% Pure Corn Flour Powder 2Kg,Packed and Loose,Unit,5,Kg,20,0,1108,100,,549,379,0,,All Products,"All Products,Cooking & Baking Ingredients",,,,,,0,,,IGST,18,CGST + SGST,18
MSP-5KG,SLCHEM® Maize Starch Powder - 100% Pure Corn Flour Powder 5Kg,Packed and Loose,Unit,5,Kg,20,0,1108,100,,1399,779,0,,All Products,"All Products,Cooking & Baking Ingredients",,,,,,0,,,IGST,18,CGST + SGST,18
EPSB-100G,SLCHEM® Nature Pure Premium Epsom Bath Salt 100g,Packed and Loose,Unit,1000,Gm,100,0,28332100,500,,149,89,0,,House Hold Cleaning Supplies,"House Hold Cleaning Supplies,All Products",,,,,,0,,,IGST,18,CGST + SGST,18
EPSB-250G,SLCHEM® Nature Pure Premium Epsom Bath Salt 250g,Packed and Loose,Unit,1000,Gm,100,0,28332100,500,,199,149,0,,House Hold Cleaning Supplies,"House Hold Cleaning Supplies,All Products",,,,,,0,,,IGST,18,CGST + SGST,18
EPSB-400G,SLCHEM® Nature Pure Premium Epsom Bath Salt 400g,Packed and Loose,Unit,1000,Gm,100,0,28332100,500,,249,199,0,,House Hold Cleaning Supplies,"House Hold Cleaning Supplies,All Products",,,,,,0,,,IGST,18,CGST + SGST,18
EPSB-800G,SLCHEM® Nature Pure Premium Epsom Bath Salt 800g,Packed and Loose,Unit,1000,Gm,100,0,28332100,500,,299,239,0,,House Hold Cleaning Supplies,"House Hold Cleaning Supplies,All Products",,,,,,0,,,IGST,18,CGST + SGST,18
EPSB-1.6KG,SLCHEM® Nature Pure Premium Epsom Bath Salt 1.6Kg,Packed and Loose,Unit,1000,Gm,100,0,28332100,500,,349,299,0,,House Hold Cleaning Supplies,"House Hold Cleaning Supplies,All Products",,,,,,0,,,IGST,18,CGST + SGST,18
EPSB-2KG,SLCHEM® Nature Pure Premium Epsom Bath Salt 2Kg,Packed and Loose,Unit,1000,Gm,100,0,28332100,500,,399,329,0,,House Hold Cleaning Supplies,"House Hold Cleaning Supplies,All Products",,,,,,0,,,IGST,18,CGST + SGST,18
EPSB-5KG,SLCHEM® Nature Pure Premium Epsom Bath Salt 5Kg,Packed and Loose,Unit,1000,Gm,100,0,28332100,500,,899,799,0,,House Hold Cleaning Supplies,"House Hold Cleaning Supplies,All Products",,,,,,0,,,IGST,18,CGST + SGST,18
NEEMFC-500ML,SLCHEM® Neem Floor Cleaner - Herbal Floor Cleaner with natural fresh neem fragrance (Eco friendly floor cleaner) ,Packed Product,Unit,500,Ml,100,0,3401,500,,129,75,0,,All Purpose Cleaners,"House Hold Cleaning Supplies >> All Purpose Cleaners,Covid-19 Essentials,All Products",,,,,,0,,,IGST,18,CGST + SGST,18
PH-BB1L,SLCHEM® New Blossom Herbal Phenyls with Best Fragrance Ever Blue Blossom,Packed Product,Unit,,,20,0,3402,100,,249,199,0,,House Hold Cleaning Supplies,"House Hold Cleaning Supplies,All Products",,,,,,0,,,IGST,18,CGST + SGST,18
PH-PB1L,SLCHEM® New Blossom Herbal Phenyls with Best Fragrance Ever Pink Blossom,Packed Product,Unit,,,20,0,3402,100,,249,199,0,,House Hold Cleaning Supplies,"House Hold Cleaning Supplies,All Products",,,,,,0,,,IGST,18,CGST + SGST,18
PH-CL1L,SLCHEM® New Blossom Herbal Phenyls with Best Fragrance Ever Citrus Lime,Packed Product,Unit,,,20,0,3402,100,,249,199,0,,House Hold Cleaning Supplies,"House Hold Cleaning Supplies,All Products",,,,,,0,,,IGST,18,CGST + SGST,18
DM-500ML,SLCHEM® Pure Demineralised Water 500ML,Packed Product,Unit,,,20,0,2853,100,,249,199,0,,House Hold Cleaning Supplies,"House Hold Cleaning Supplies,House Hold Cleaning Supplies >> All Purpose Cleaners,All Products",,,,,,0,,,IGST,18,CGST + SGST,18
DM-1LT,SLCHEM® Pure Demineralised Water 1L,Packed Product,Unit,,,20,0,2853,100,,299,269,0,,House Hold Cleaning Supplies,"House Hold Cleaning Supplies,House Hold Cleaning Supplies >> All Purpose Cleaners,All Products",,,,,,0,,,IGST,18,CGST + SGST,18
DM-5LT,SLCHEM® Pure Demineralised Water 5L,Packed Product,Unit,,,20,0,2853,100,,599,469,0,,House Hold Cleaning Supplies,"House Hold Cleaning Supplies,House Hold Cleaning Supplies >> All Purpose Cleaners,All Products",,,,,,0,,,IGST,18,CGST + SGST,18
SLS-500G,SLCHEM® PURE Sodium Lauryl Sulfate (SLS )POWDER 500g,Packed Product,Unit,,,20,0,3402,100,,349,299,0,,House Hold Cleaning Supplies,"House Hold Cleaning Supplies,All Products",,,,,,0,,,IGST,18,CGST + SGST,18
SLS-1K,SLCHEM® PURE Sodium Lauryl Sulfate (SLS )POWDER 1kg,Packed Product,Unit,,,20,0,3402,100,,549,499,0,,House Hold Cleaning Supplies,"House Hold Cleaning Supplies,All Products",,,,,,0,,,IGST,18,CGST + SGST,18
SLS-2KG,SLCHEM® PURE Sodium Lauryl Sulfate (SLS )POWDER 2kg,Packed Product,Unit,,,20,0,3402,100,,999,899,0,,House Hold Cleaning Supplies,"House Hold Cleaning Supplies,All Products",,,,,,0,,,IGST,18,CGST + SGST,18
SLS-5KG,SLCHEM® PURE Sodium Lauryl Sulfate (SLS )POWDER 5kg,Packed Product,Unit,,,20,0,3402,100,,2999,2149,0,,House Hold Cleaning Supplies,"House Hold Cleaning Supplies,All Products",,,,,,0,,,IGST,18,CGST + SGST,18
BLEACH-250G,SLCHEM® Pure Stable Bleaching Powder 250g,Packed Product,Unit,,,50,1,28281010,249,,99,79,0,,All Products,"All Products,Covid-19 Essentials,House Hold Cleaning Supplies >> Toilet Cleaner,Stain Removers",,,,,,0,,,IGST,0,SGST+CGST,0
BLEACH-500G,SLCHEM® Pure Stable Bleaching Powder 500g,Packed Product,Unit,,,100,0,28281010,500,,199,129,0,,All Products,"All Products,Covid-19 Essentials,House Hold Cleaning Supplies >> Toilet Cleaner,Stain Removers",,,,,,0,,,IGST,0,SGST+CGST,0
BLEACH-1KG,SLCHEM® Pure Stable Bleaching Powder 1Kg,Packed Product,Unit,,,100,1,28281010,499,,299,169,0,,All Products,"All Products,Covid-19 Essentials,House Hold Cleaning Supplies >> Toilet Cleaner,Stain Removers",,,,,,0,,,IGST,0,SGST+CGST,0
BLEACH-2KG,SLCHEM® Pure Stable Bleaching Powder 2Kg,Packed Product,Unit,,,100,0,28281010,500,,349,299,0,,All Products,"All Products,Covid-19 Essentials,House Hold Cleaning Supplies >> Toilet Cleaner,Stain Removers",,,,,,0,,,IGST,0,SGST+CGST,0
BLEACH-5KG,SLCHEM® Pure Stable Bleaching Powder 5Kg,Packed Product,Unit,,,100,0,28281010,500,,599,429,0,,All Products,"All Products,Covid-19 Essentials,House Hold Cleaning Supplies >> Toilet Cleaner,Stain Removers",,,,,,0,,,IGST,0,SGST+CGST,0
BLEAC-25KG,SLCHEM® Pure Stable Bleaching Powder 25Kg,Packed Product,Unit,,,100,0,28281010,500,,2999,1949,0,,All Products,"All Products,Covid-19 Essentials,House Hold Cleaning Supplies >> Toilet Cleaner,Stain Removers",,,,,,0,,,IGST,0,SGST+CGST,0
SO-GO,SLCHEM® SOAP OIL LIME MULTIPURPOSE CLEANING (2L) - Green and Orange ,Loose,Ltr,N/A,N/A,100,1,3401,499,,299,249,0,,All Purpose Cleaners,"House Hold Cleaning Supplies >> All Purpose Cleaners,All Products,Covid-19 Essentials",,,,,,0,,,IGST,18,CGST + SGST,18
SOG-500ML,SLCHEM® SOAP OIL MULTIPURPOSE CLEANING (Green & Orange) 500ML - Green,Packed Product,Unit,,,100,0,3401,500,,139,69,0,,All Purpose Cleaners,"House Hold Cleaning Supplies >> All Purpose Cleaners,All Products,Covid-19 Essentials",,,,,,0,,,IGST,18,CGST + SGST,18
SOO-500ML,SLCHEM® SOAP OIL MULTIPURPOSE CLEANING (Green & Orange) 500ML - Orange,Packed Product,Unit,,,100,0,3401,500,,139,69,0,,All Purpose Cleaners,"House Hold Cleaning Supplies >> All Purpose Cleaners,All Products,Covid-19 Essentials",,,,,,0,,,IGST,18,CGST + SGST,18
SOG-1LT,SLCHEM® SOAP OIL MULTIPURPOSE CLEANING (Green & Orange) 1 Liter - Green,Packed Product,Unit,,,100,0,3401,500,,199,129,0,,All Purpose Cleaners,"House Hold Cleaning Supplies >> All Purpose Cleaners,All Products,Covid-19 Essentials",,,,,,0,,,IGST,18,CGST + SGST,18
SOO-1LT,SLCHEM® SOAP OIL MULTIPURPOSE CLEANING (Green & Orange) 1 Liter - Orange,Packed Product,Unit,,,100,0,3401,500,,199,129,0,,All Purpose Cleaners,"House Hold Cleaning Supplies >> All Purpose Cleaners,All Products,Covid-19 Essentials",,,,,,0,,,IGST,18,CGST + SGST,18
SOG-2LT,SLCHEM® SOAP OIL MULTIPURPOSE CLEANING (Green & Orange) 2 Liter - Green,Packed Product,Unit,,,100,0,3401,500,,299,259,0,,All Purpose Cleaners,"House Hold Cleaning Supplies >> All Purpose Cleaners,All Products,Covid-19 Essentials",,,,,,0,,,IGST,18,CGST + SGST,18
SOO-2LT,SLCHEM® SOAP OIL MULTIPURPOSE CLEANING (Green & Orange) 2 Liter - Orange,Packed Product,Unit,,,100,0,3401,500,,299,259,0,,All Purpose Cleaners,"House Hold Cleaning Supplies >> All Purpose Cleaners,All Products,Covid-19 Essentials",,,,,,0,,,IGST,18,CGST + SGST,18
SOG-5LT,SLCHEM® SOAP OIL MULTIPURPOSE CLEANING (Green & Orange) 5 Liter - Green,Packed Product,Unit,,,100,0,3401,500,,599,499,0,,All Purpose Cleaners,"House Hold Cleaning Supplies >> All Purpose Cleaners,All Products,Covid-19 Essentials",,,,,,0,,,IGST,18,CGST + SGST,18
SOO-5LT,SLCHEM® SOAP OIL MULTIPURPOSE CLEANING (Green & Orange) 5 Liter - Orange,Packed Product,Unit,,,100,0,3401,500,,599,499,0,,All Purpose Cleaners,"House Hold Cleaning Supplies >> All Purpose Cleaners,All Products,Covid-19 Essentials",,,,,,0,,,IGST,18,CGST + SGST,18
SG-100G,SLCHEM® Sodium Glutamate Mono - Flavor Enhancer/ Pure Tasting Salt 100g,Packed Product,Unit,,,20,0,11081200,100,,99,59,0,,Cooking & Baking Ingredients,"Cooking & Baking Ingredients,All Products",,,,,,,,,IGST,18,CGST + SGST,18
SG-250G,SLCHEM® Sodium Glutamate Mono - Flavor Enhancer/ Pure Tasting Salt 250g,Packed Product,Unit,,,20,0,11081200,100,,129,79,0,,Cooking & Baking Ingredients,"Cooking & Baking Ingredients,All Products",,,,,,,,,IGST,18,CGST + SGST,18
SG-400G,SLCHEM® Sodium Glutamate Mono - Flavor Enhancer/ Pure Tasting Salt 400g,Packed Product,Unit,,,20,0,11081200,100,,199,129,0,,Cooking & Baking Ingredients,"Cooking & Baking Ingredients,All Products",,,,,,,,,IGST,18,CGST + SGST,18
SG-800G,SLCHEM® Sodium Glutamate Mono - Flavor Enhancer/ Pure Tasting Salt 800g,Packed Product,Unit,,,20,0,11081200,100,,259,199,0,,Cooking & Baking Ingredients,"Cooking & Baking Ingredients,All Products",,,,,,,,,IGST,18,CGST + SGST,18
SG-1.2KG,SLCHEM® Sodium Glutamate Mono - Flavor Enhancer/ Pure Tasting Salt 1.2Kg,Packed Product,Unit,,,20,0,11081200,100,,399,249,0,,Cooking & Baking Ingredients,"Cooking & Baking Ingredients,All Products",,,,,,,,,IGST,18,CGST + SGST,18
SG-1.6KG,SLCHEM® Sodium Glutamate Mono - Flavor Enhancer/ Pure Tasting Salt 1.6Kg,Packed Product,Unit,,,20,0,11081200,100,,459,299,0,,Cooking & Baking Ingredients,"Cooking & Baking Ingredients,All Products",,,,,,,,,IGST,18,CGST + SGST,18
SG-2KG,SLCHEM® Sodium Glutamate Mono - Flavor Enhancer/ Pure Tasting Salt 2Kg,Packed Product,Unit,,,20,0,11081200,100,,529,369,0,,Cooking & Baking Ingredients,"Cooking & Baking Ingredients,All Products",,,,,,,,,IGST,18,CGST + SGST,18
SG-5KG,SLCHEM® Sodium Glutamate Mono - Flavor Enhancer/ Pure Tasting Salt 5Kg,Packed Product,Unit,,,20,0,11081200,100,,799,629,0,,Cooking & Baking Ingredients,"Cooking & Baking Ingredients,All Products",,,,,,,,,IGST,18,CGST + SGST,18
HYPO-1LT,SLCHEM® Sodium Hypochlorite 5% Solution - Disinfectant Solution 1 Liter,Packed Product,Unit,,,100,0,2828,500,,199,139,0,,Surface Cleaner,"House Hold Cleaning Supplies >> Surface Cleaner,Covid-19 Essentials,All Products",,,,,,0,,,IGST,18,CGST + SGST,18
HYPO-2LT,SLCHEM® Sodium Hypochlorite 5% Solution - Disinfectant Solution 2 Liter,Packed Product,Unit,,,100,0,2828,500,,299,229,0,,Surface Cleaner,"House Hold Cleaning Supplies >> Surface Cleaner,Covid-19 Essentials,All Products",,,,,,0,,,IGST,18,CGST + SGST,18
HYPO-3LT,SLCHEM® Sodium Hypochlorite 5% Solution - Disinfectant Solution 3 Liter,Packed Product,Unit,,,100,0,2828,500,,399,349,0,,Surface Cleaner,"House Hold Cleaning Supplies >> Surface Cleaner,Covid-19 Essentials,All Products",,,,,,0,,,IGST,18,CGST + SGST,18
HYPO-5LT,SLCHEM® Sodium Hypochlorite 5% Solution - Disinfectant Solution 5 Liter,Packed Product,Unit,,,100,0,2828,500,,699,499,0,,Surface Cleaner,"House Hold Cleaning Supplies >> Surface Cleaner,Covid-19 Essentials,All Products",,,,,,0,,,IGST,18,CGST + SGST,18
SLES-500ML,SLCHEM® Sodium Lauryl Ether Sulphate (SLES) 500ml,Packed Product,Unit,,,20,0,2833,100,,349,149,0,,All Products,"All Products,soap making chemicals",,,,,,,,,IGST,18,CGST + SGST,18
SLES-1LT,SLCHEM® Sodium Lauryl Ether Sulphate (SLES) 1 Liter,Packed Product,Unit,,,20,0,2833,100,,499,349,0,,All Products,"All Products,soap making chemicals",,,,,,,,,IGST,18,CGST + SGST,18
SLES-5LT,SLCHEM® Sodium Lauryl Ether Sulphate (SLES) 5Liter,Packed Product,Unit,,,20,0,2833,100,,1499,1050,0,,All Products,"All Products,soap making chemicals",,,,,,,,,IGST,18,CGST + SGST,18
TCCA90-250G,SLCHEM® TCCA90 Graules - Swimming Pool Water Purifier Chemical 250g,Packed Product,Unit,,,20,0,29339900,100,,129,99,0,,Swimming pool Cleaning Chemicals,"Swimming pool Cleaning Chemicals,All Products",,,,,,,,,IGST,18,CGST + SGST,18
TCCA90-500G,SLCHEM® TCCA90 Graules - Swimming Pool Water Purifier Chemical 500g,Packed Product,Unit,,,20,0,29339900,100,,249,189,0,,Swimming pool Cleaning Chemicals,"Swimming pool Cleaning Chemicals,All Products",,,,,,,,,IGST,18,CGST + SGST,18
TCCA90-1KG,SLCHEM® TCCA90 Graules - Swimming Pool Water Purifier Chemical 1kg,Packed Product,Unit,,,20,0,29339900,100,,479,369,0,,Swimming pool Cleaning Chemicals,"Swimming pool Cleaning Chemicals,All Products",,,,,,,,,IGST,18,CGST + SGST,18
TCCA90-2KG,SLCHEM® TCCA90 Graules - Swimming Pool Water Purifier Chemical 2kg,Packed Product,Unit,,,20,0,29339900,100,,949,729,0,,Swimming pool Cleaning Chemicals,"Swimming pool Cleaning Chemicals,All Products",,,,,,,,,IGST,18,CGST + SGST,18
TCCA90-5KG,SLCHEM® TCCA90 Graules - Swimming Pool Water Purifier Chemical 5kg,Packed Product,Unit,,,20,0,29339900,100,,1889,1449,0,,Swimming pool Cleaning Chemicals,"Swimming pool Cleaning Chemicals,All Products",,,,,,,,,IGST,18,CGST + SGST,18
TCCA90-10KG,SLCHEM® TCCA90 Graules - Swimming Pool Water Purifier Chemical 10kg,Packed Product,Unit,,,20,0,29339900,100,,3599,2999,0,,Swimming pool Cleaning Chemicals,"Swimming pool Cleaning Chemicals,All Products",,,,,,,,,IGST,18,CGST + SGST,18
TBC500-1B,SLCHEM® Toilet Bowl Cleaner - Disinfectant Toilet Cleaner Kills 99.9% of Germs 500ML 1 Bottle,Packed Product,Unit,,,100,0,34022090,500,,199,139,0,,All Products,"All Products,House Hold Cleaning Supplies >> Toilet Cleaner",,,,,,0,,,IGST,0,SGST+CGST,0
TBC500-2B,SLCHEM® Toilet Bowl Cleaner - Disinfectant Toilet Cleaner Kills 99.9% of Germs 500ML Pack of 2,Packed Product,Unit,,,100,0,34022090,500,,249,199,0,,All Products,"All Products,House Hold Cleaning Supplies >> Toilet Cleaner",,,,,,0,,,IGST,0,SGST+CGST,0
TBC500-5B,SLCHEM® Toilet Bowl Cleaner - Disinfectant Toilet Cleaner Kills 99.9% of Germs 500ML Pack of 5,Packed Product,Unit,,,100,0,34022090,500,,495,380,0,,All Products,"All Products,House Hold Cleaning Supplies >> Toilet Cleaner",,,,,,0,,,IGST,0,SGST+CGST,0
SA-100G,SLCHEM® Washing Soda - Soda Ash(Sodium Carbonate) 100% Pure Detergent Booster and Water Softner 100g,Packed Product,Unit,,,20,0,2836,100,,79,49,0,,All Products,"All Products,House Hold Cleaning Supplies,soap making chemicals",,,,,,,,,IGST,18,CGST + SGST,18
SA-500G,SLCHEM® Washing Soda - Soda Ash(Sodium Carbonate) 100% Pure Detergent Booster and Water Softner 500g,Packed Product,Unit,,,20,1,2836,99,,149,99,0,,All Products,"All Products,House Hold Cleaning Supplies,soap making chemicals",,,,,,,,,IGST,18,CGST + SGST,18
SA-1KG,SLCHEM® Washing Soda - Soda Ash(Sodium Carbonate) 100% Pure Detergent Booster and Water Softner 1kg,Packed Product,Unit,,,20,0,2836,100,,199,149,0,,All Products,"All Products,House Hold Cleaning Supplies,soap making chemicals",,,,,,,,,IGST,18,CGST + SGST,18
SA-2KG,SLCHEM® Washing Soda - Soda Ash(Sodium Carbonate) 100% Pure Detergent Booster and Water Softner 2kg,Packed Product,Unit,,,20,0,2836,100,,349,299,0,,All Products,"All Products,House Hold Cleaning Supplies,soap making chemicals",,,,,,,,,IGST,18,CGST + SGST,18
SA-5KG,SLCHEM® Washing Soda - Soda Ash(Sodium Carbonate) 100% Pure Detergent Booster and Water Softner 5kg,Packed Product,Unit,,,20,0,2836,100,,699,499,0,,All Products,"All Products,House Hold Cleaning Supplies,soap making chemicals",,,,,,,,,IGST,18,CGST + SGST,18
